month,oespi_base,oespi_peak,source_url,retrieved_at
2019-01,96.07,82.80,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-02,100.10,86.28,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-03,102.37,88.04,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-04,104.27,89.64,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-05,105.71,90.65,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-06,106.02,91.36,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-07,106.65,91.68,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-08,105.53,90.52,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-09,104.64,90.44,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-10,103.97,89.53,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-11,103.05,88.29,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2019-12,104.08,89.31,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-01,103.68,88.57,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-02,102.81,87.55,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-03,101.98,86.64,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-04,99.59,84.53,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-05,96.17,81.75,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-06,93.26,79.63,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-07,89.61,76.75,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-08,86.43,74.19,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-09,85.68,73.79,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-10,83.69,72.03,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-11,82.74,71.09,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2020-12,84.65,73.05,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-01,84.17,72.52,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-02,85.71,73.55,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-03,90.74,77.48,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-04,93.27,79.33,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-05,96.24,81.46,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-06,101.12,85.08,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-07,106.54,88.95,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-08,113.07,93.73,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-09,120.29,99.64,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-10,130.35,107.36,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-11,144.80,118.72,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2021-12,156.59,131.81,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-01,173.11,146.55,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-02,208.55,178.93,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-03,216.80,185.51,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-04,245.15,209.49,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-05,293.41,249.98,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-06,304.48,260.99,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-07,344.52,295.64,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-08,387.90,334.58,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-09,420.52,371.76,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-10,532.68,482.13,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-11,620.12,567.86,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2022-12,660.44,624.98,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-01,704.56,666.81,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-02,742.39,702.63,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-03,701.54,660.50,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-04,693.51,653.29,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-05,670.88,630.81,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-06,587.18,550.34,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-07,511.38,470.21,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-08,447.88,401.24,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-09,384.48,338.26,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-10,345.31,296.89,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-11,307.41,259.02,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2023-12,301.64,252.53,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-01,289.96,240.51,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-02,279.23,230.64,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-03,268.74,221.32,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-04,251.93,206.51,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-05,236.09,192.43,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-06,219.64,178.07,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-07,206.79,166.36,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-08,196.65,157.55,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-09,187.99,150.43,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-10,182.99,145.52,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-11,179.90,142.29,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2024-12,182.20,143.29,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-01,186.31,146.08,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-02,189.22,148.21,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-03,191.92,149.96,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-04,193.66,151.20,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-05,194.40,151.38,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-06,190.27,148.79,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-07,190.16,148.35,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-08,192.02,149.17,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-09,188.69,146.83,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-10,188.62,145.74,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-11,188.60,144.58,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
2025-12,184.62,141.40,https://www.energyagency.at/fakten/strompreisindex,2026-07-23
